PATHWAY_SORTORDER,BIOCHEMICAL,SUPER_PATHWAY,SUB_PATHWAY,COMP_ID,PLATFORM,CHEMICAL_ID,RI,MASS,CAS,PUBCHEM,CHEMSPIDER,KEGG,                               Group   HMDB_ID,S9,S12,S2,S16,S3,S15,S14,S10,S11,S66,S8,S1,S7,S5,S13,S4,S6,S18,S19,S20,S21,S22,S23,S24,S25,S82,S83,S84,S29,S30,S31,S32,S33,S34,S35,S36,S37,S38,S39,S40,S41,S42,S43,S44,S45,S46,S47,S48,S49,S50,S51,S52,S53,S54,S55,S56,S57,S58,S59,S60,S61,S62,S63,S64,S65,S17,S67,S68,S69,S70,S71,S72,S73,S74,S75,S76,S77,S78,S79,S80,S81,S26,S27,S28,S85,S86,S87,S88,S89,S90,S91,S92,S93,S94,S95,S96,S97,S98,S99,S100,S101,S102,S103,S104,S105,S106,S107,S108,S109,S110,S111,S112
3604,(3'-5')-cytidylyluridine*,Nucleotide,Dinucleotide,62399,LC/MS Neg,100020728,1522,548.10356,,,,,,0.9228,0.2156,0.6285,0.4033,0.3198,1.4961,2.704,0.1265,0.1265,1,0.277,0.8958,0.1265,0.1265,0.1265,0.3514,4.7729,0.1265,0.7547,0.1265,3.0887,2.1943,2.3906,0.1265,0.1265,6.306,2.5605,0.2613,1.0107,0.6748,0.874,0.4305,1.5299,1.8132,3.6084,4.6587,0.2531,0.1265,0.1265,1.8136,0.2324,0.1265,0.5564,0.1265,2.7842,0.1265,0.8155,0.6227,0.5664,2.6255,0.3185,0.1265,1.375,2.4859,0.8942,1.3118,0.1265,0.1265,0.1265,0.5915,0.6412,2.7141,1.8362,0.8577,0.6631,0.9839,0.1265,1.7757,0.5026,0.1265,0.2923,0.1265,6.6219,0.1265,0.1265,0.1265,2.2772,1.1128,1.004,0.5468,0.1265,3.4896,1.5827,0.232,0.5095,2.993,1.1369,0.5048,1.2259,0.8457,2.4833,1.8281,1.2153,2.5425,0.1265,0.5464,0.3467,0.5778,4.0817,0.1265,0.6436,0.1265,0.3743,1.3286,1.221,1.866,0.8028,0.7633,0.1265,2.9118,3.1395,0.1265
3605,(3'-5')-guanylyladenosine*,Nucleotide,Dinucleotide,62761,LC/MS Neg,100020725,1950,611.13691,,,,,,0.6253,0.1779,1.3113,0.4944,0.6863,1.7994,2.7894,0.1019,0.4904,3.8431,0.2264,4.2339,0.1019,0.1019,0.8151,0.2166,2.8221,0.1019,0.5134,0.1019,3.8506,1.4283,5.1958,0.1019,0.1019,9.2455,4.0374,0.1945,0.6257,0.3548,2.4408,1.2256,1.1395,1.7755,3.8476,5.9533,0.212,0.1019,0.1019,1.7788,0.1019,0.4303,0.5657,0.1019,0.5477,0.1019,0.2953,0.3698,0.1019,0.7252,2.1645,0.4278,0.3398,2.4696,0.7707,1.2995,0.1019,0.3193,0.1035,0.4792,1.5192,0.6579,1.67,3.0497,0.974,1.6052,0.1019,2.3024,0.4825,0.3426,0.1019,0.1019,1.2458,0.3443,0.1019,0.1019,1.0782,1.1679,1.3722,0.1019,0.1019,3.4166,3.7189,0.1882,0.5985,2.5394,0.9103,0.5909,1,0.9748,2.1264,1.9558,2.6829,2.349,0.1019,0.8711,0.544,1.5883,1.2893,0.1019,0.2566,0.1189,0.1019,2.4562,1.0036,0.6592,0.7543,0.6635,0.1019,3.345,3.0061,0.1019
3606,(3'-5')-guanylylcytidine,Nucleotide,Dinucleotide,52746,LC/MS Neg,100009064,1670,587.12567,4785-04-0,107595,96791,,,0.2594,0.3201,0.2308,0.3857,0.3074,1.3895,1.9976,0.104,0.104,1.1013,0.104,1.6073,0.104,0.104,0.1566,0.2246,3.4421,0.104,0.2465,0.104,3.0777,1.1381,0.9999,0.104,0.1734,6.2664,2.4032,0.104,0.3371,0.7586,0.466,0.3904,3.1689,2.1357,2.3531,8.0279,0.104,0.104,0.104,1.4985,0.104,0.104,0.6263,0.104,5.8281,0.104,0.2804,0.5361,0.3907,1.2272,0.6163,0.104,0.3163,3.6222,0.5376,1.0001,0.104,0.104,0.104,0.3816,1.1554,1.0177,1.7626,0.64,1.0309,0.7317,0.104,1.5623,0.5387,0.1084,0.104,0.104,8.1297,0.2877,0.104,0.104,2.9877,0.5868,1.5779,0.104,0.104,2.572,1.1217,0.104,0.256,2.3385,0.6201,0.5027,1.0953,0.8595,1.6018,1.3211,1.4509,1.2894,0.104,0.6064,0.2295,0.2978,2.5898,0.1064,0.5842,0.104,0.104,1.6822,1.512,0.8288,0.379,1.1276,0.104,2.3297,3.5211,0.104
3607,(3'-5')-guanylyluridine,Nucleotide,Dinucleotide,52743,LC/MS Neg,100009056,1772,588.10969,03/07/4785,,32821064,,,0.6683,0.8916,0.5197,0.3119,0.5007,2.8074,2.7119,0.0789,0.0789,1.7244,0.3722,2.2549,0.0789,0.0789,0.2806,0.3217,3.9499,0.1694,0.7796,0.0789,4.9598,1.245,1.4579,0.0789,0.4183,6.9242,3.7643,0.1781,0.7547,1,0.8398,0.6257,5.2497,3.1909,1.8402,9.1592,0.2269,0.0789,0.0789,1.9238,0.3181,0.0789,1.3244,0.0789,5.6845,0.0789,1.0818,0.8411,0.5044,1.6797,0.6524,0.1416,0.5803,4.8262,1.1413,1.2275,0.0789,0.3401,0.0789,0.0789,1.6963,2.7019,1.6596,0.9065,1.7869,0.7401,0.0789,1.7016,0.6963,0.0789,0.089,0.0789,7.9648,0.485,0.0789,0.0789,2.9669,0.6251,2.2255,0.1896,0.31,3.2145,1.4241,0.2012,0.6697,1.3605,1.0642,0.8703,1.9907,1.5775,1.1091,0.9694,2.2785,0.9193,0.0789,0.4861,0.4217,0.6107,3.7219,0.3066,0.7844,0.0789,0.0789,2.0705,1.5886,0.9432,0.7212,1.343,0.0789,2.9761,4.9544,0.0789
3608,(3'-5')-uridylylcytidine*,Nucleotide,Dinucleotide,62398,LC/MS Neg,100020729,1591,548.10356,,,,,,0.3617,0.256,0.2794,0.1913,0.1913,0.6021,2.0984,0.1913,0.1913,0.4862,0.1913,1,0.1913,0.1913,0.1913,0.1913,5.5401,0.1913,0.1913,0.1913,3.0154,2.3802,0.8084,0.1913,0.1913,3.4337,2.5192,0.1913,0.1913,0.6577,0.299,0.1913,2.7622,0.5362,1.5873,9.3948,0.1913,0.1987,0.1913,1.444,0.1913,0.1913,0.1913,0.1913,5.609,0.1913,0.1913,0.1913,0.2884,0.773,0.4669,0.1913,1.88,2.7105,0.1913,0.7686,0.1913,0.1913,0.1913,0.1913,0.8533,0.5438,1.7835,0.4487,1.1163,0.7115,0.1913,1.2085,0.1913,0.1913,0.1913,0.1913,8.7811,0.1913,0.1913,0.1913,5.9835,0.6582,2.1749,0.1913,0.1913,2.2619,0.9721,0.1913,0.313,2.9779,0.5526,0.1913,0.5493,0.4325,2.0213,2.6529,0.597,2.3423,0.1913,0.3889,0.3522,0.1913,2.388,0.1913,0.1913,0.1913,0.1913,1.1382,1.0487,1.0309,0.4509,0.7491,0.1913,3.2555,2.26,0.1913
3609,(3'-5')-uridylylguanosine,Nucleotide,Dinucleotide,52742,LC/MS Neg,100009057,1637,588.10969,02/04/3474,107394,96654,,,0.228,0.228,1.6197,0.4154,0.228,1.0451,2.3531,0.228,0.5573,0.8112,0.3765,0.464,0.228,0.228,0.2729,0.228,1.0879,0.228,0.4951,0.228,0.6152,2.7091,3.7665,0.228,0.228,2.6898,2.8363,0.5263,0.228,0.6705,1.4643,0.5451,0.2483,0.9606,3.1857,1.9689,0.228,0.2863,0.4414,0.228,0.5172,0.228,0.228,0.228,0.228,0.228,0.228,0.228,0.228,0.9503,1.0911,0.228,0.4551,1.1219,0.9119,1.6219,0.228,0.228,0.4456,1.0652,0.228,0.5602,1.1738,2.4816,0.228,1.158,0.228,1,0.6066,0.228,0.228,0.228,0.5309,0.228,0.228,0.228,0.228,1.3259,0.4299,0.228,0.228,2.1482,2.3146,0.228,0.8113,6.7938,1.7719,0.228,0.3685,0.7191,3.6365,2.0218,0.228,4.8215,0.228,0.3866,1.9821,1.061,0.8685,0.228,0.388,0.3196,0.228,2.0464,0.3069,1.2178,1.4595,0.228,0.228,2.1172,1.6441,0.228
3610,(3'-5')-uridylyluridine,Nucleotide,Dinucleotide,52741,LC/MS Neg,100009058,1688,549.08756,2415-43-2,102258,92384,,,0.5764,0.6046,0.7311,0.2265,0.2243,1.285,2.3055,0.1039,0.159,0.9367,0.2264,1.1541,0.1482,0.1039,0.1039,0.2755,6.1692,0.1039,0.7342,0.1039,3.9837,2.3716,1.3958,0.1039,0.3039,5.6985,3.2165,0.3469,0.4631,0.8579,0.4977,0.2764,3.1491,1.5974,1.4797,9.2034,0.3273,0.3334,0.1721,1.5088,1.0819,0.1039,0.6678,0.1039,6.0384,0.1039,0.3694,0.7075,0.4633,1.6494,0.5389,0.1039,2.1428,2.6685,1.0081,1.3192,0.1039,0.5262,0.2098,0.3022,1.2643,2.1559,1.5804,0.4773,1.4786,1,0.1039,1.4516,0.9294,0.1039,0.1039,0.1039,9.3428,0.3427,0.1039,0.1039,4.633,0.8747,2.4691,0.5212,0.1039,2.2878,1.6851,0.4225,0.6188,3.2011,1.2979,0.1039,1.2967,0.8709,1.3817,3.2047,1.531,2.2171,0.1039,0.3622,0.8325,0.617,3.646,0.1135,0.3647,0.1039,0.1039,2.1344,1.4898,1.0568,0.872,0.7409,0.1039,3.3336,3.6982,0.1039
3935,"1,1-kestotetraose",Xenobiotics,Food Component/Plant,39796,LC/MS Neg,100003047,1381,665.21458,13133-07-8,166775,145907,,HMDB39176,0.203,0.3646,0.2669,6.6174,2.674,1.8441,0.9676,2.5765,0.2914,0.2155,3.626,0.5165,0.6667,2.3142,1.0695,0.0871,0.0871,0.9923,2.0907,0.2767,0.0871,0.2291,0.0935,0.0944,0.0871,0.6787,0.2176,5.5897,0.66,0.0871,0.0871,147.9992,0.3364,0.9181,0.1991,0.0871,1.0264,1.0077,11.0212,0.0871,2.2772,39.6485,1.0218,0.0871,0.0871,6.2934,0.0871,3.4272,0.0871,1.1282,0.0871,1.1917,0.4683,0.1221,0.0871,0.2949,0.3793,1.2395,0.0871,8.8593,1.2467,1.081,0.4573,9.1271,0.2371,0.2194,60.9643,0.0871,3.2198,22.9996,1.0916,0.0871,0.3416,2.3131,2.1663,0.0871,0.528,0.2969,0.0871,0.0871,0.0871,0.4285,0.0871,6.194,0.0871,0.0871,0.0871,80.195,5.3342,0.0871,0.0888,0.0871,0.8353,0.0871,0.0871,0.0871,0.0871,3.3986,0.3109,0.0871,0.0871,36.0196,0.0871,0.1967,1.8713,0.2904,0.0871,0.0871,0.0871,0.0871,0.1746,0.0871
4947,"1,2,3-benzenetriol sulfate (1)",Xenobiotics,Chemical,48761,LC/MS Neg,100006373,1453,204.98123,,,,,,1.3563,0.4048,2.3072,0.1058,1.758,1,0.1632,0.1058,7.1444,1.8373,0.4228,0.1058,0.1058,0.1058,0.1058,0.1058,0.1058,0.603,0.1058,0.1058,0.1058,0.8096,0.1058,0.1058,1.3601,0.3486,0.1058,0.4051,2.9613,0.9758,0.2273,0.1058,1.6281,1.0315,2.198,0.1058,3.1953,0.7656,0.1058,0.1058,0.2875,0.1269,0.3538,0.3097,0.1058,0.1058,0.1058,0.7796,11.1752,0.6575,0.155,0.1791,2.4349,0.1538,81.6335,1.1992,4.5708,0.1058,0.4706,0.1058,2.4988,4.6028,37.9463,1.9198,13.3419,0.7707,0.1638,0.1362,0.8745,0.1058,2.6432,0.1058,0.1058,0.496,0.4283,0.3376,0.6724,0.3426,0.2456,0.1058,2.7214,0.6439,0.1058,2.7822,2.6534,4.6926,1.3128,0.1058,0.4064,0.1835,0.1058,0.1206,1.3548,41.0816,0.253,0.1058,10.2027,2.0104,0.1058,1.541,0.1058,0.4302,5.0799,0.6129,2.6377,0.7339,4.7301,0.1058,2.938,1.7112,3.4328,1.3618
4943,"1,2,3-benzenetriol sulfate (2)",Xenobiotics,Chemical,48762,LC/MS Neg,100006374,1709,204.98123,,,,,,1.7246,0.7044,2.8713,0.3394,2.7516,5.9329,0.177,0.0913,16.7051,2.0685,1.0137,0.0351,0.0351,0.05,0.1927,0.2049,0.1283,1.0248,0.0351,0.8595,0.048,2.0815,0.0351,0.2461,7.2596,0.429,0.3396,0.7748,3.0828,2.0086,0.4161,0.4635,1.4293,2.7808,1.3107,0.0351,10.5615,0.2859,0.0446,0.0351,0.2425,0.7873,1.2695,1.0537,0.0351,0.1123,0.0351,2.4622,2.6355,0.7655,0.2352,0.8705,4.0792,0.7487,66.4736,0.7607,6.2478,0.0732,0.4139,0.2757,2.5252,11.1685,41.7379,1.7911,13.3123,0.8264,1.0122,0.0351,0.6333,0.8134,4.0356,0.533,0.0351,1.34,0.7695,2.9755,0.4496,0.3628,0.9878,0.6814,4.7814,0.8326,0.2134,2.8087,2.2032,1.4514,0.8326,0.1069,1.3283,1.1465,0.098,0.5771,0.862,14.8708,0.4945,0.0351,1.5406,0.9502,0.0351,2.9392,0.0351,1.2489,2.8035,1.0945,1.5421,1.1702,13.5389,0.0351,6.6767,1.9863,4.6133,0.7581
4309,"1,2-dilinolenoyl-digalactosylglycerol (18:3/18:3)",Xenobiotics,Food Component/Plant,54892,LC/MS Pos Late,100009392,1941,954.61485,,,,,,0.5708,0.2303,0.2303,0.2303,0.2303,0.2303,0.2303,0.2303,0.2303,0.2303,0.7808,0.2303,0.2303,0.2303,0.2303,9.4889,0.2303,0.7053,1.1734,9.3335,0.2303,0.2303,0.2303,0.2303,0.4399,0.2303,0.2303,0.2303,0.3158,0.2303,0.2303,0.2303,0.9685,0.3598,1.3699,0.4035,0.2303,1.8279,5.3673,4.8565,2.1643,0.8804,0.3752,4.2014,0.9232,0.2303,0.2303,1.3261,0.2303,2.1177,10.7287,0.2303,0.6046,3.9353,0.9835,0.4405,0.2303,0.2303,0.2303,0.4195,0.2303,0.2303,0.2303,0.3995,0.2303,0.2891,1.5947,0.2303,0.2303,0.2303,0.2303,0.2331,0.2303,0.3651,0.4354,16.7011,0.2303,0.2303,0.5794,0.2303,0.2303,0.2303,2.7756,0.2303,0.9418,1.0113,4.9692,1.2102,0.2303,1,6.1893,0.2303,0.2303,20.932,0.2303,0.2303,0.2303,3.4551,0.2606,24.5918,11.2496,0.2303,0.2303,0.5388,0.2303,0.299,0.3055,1.8623,0.2303,0.2303,80.8682,48.1934
